== FEET ==
Name,Type,Color,Price
KLAGEM FOOT2,Foot 2,9005,111
KLAGEM FOOT2,Foot 2,bronze,116
KLAGEM FOOT2,Foot 2,gold,116

== KNEES ==
Name,Connects,Color,Price
KK_003_lacznik 3,3,9005,93
KK_004_lacznik 4,4,9005,95
KK_005_lacznik 5,5,9005,97
KK_003_lacznik 3,3,bronze,98
KK_004_lacznik 4,4,bronze,100
KK_005_lacznik 5,5,bronze,102
KK_003_lacznik 3,3,gold,98
KK_004_lacznik 4,4,gold,100
KK_005_lacznik 5,5,gold,102

== DRAWERS ==
Width,Height,Price

== WALLS ==
Type,Width,Height,Price

== PROFILES ==
Name,Length,Color,Price
KP_009_profil 65,65,9005,40
KP_001_profil 79,79,9005,40
KP_002_profil 154,154,9005,40
KP_003_profil 229,229,9005,44
KP_004_profil 329,329,9005,47
KP_005_profil 374,374,9005,49
KP_010_profil 420,420,9005,50
KP_006_profil 479,479,9005,56
KP_007_profil 523,523,9005,52
KP_008_profil 729,729,9005,53
KP_009_profil 65,65,bronze,45
KP_001_profil 79,79,bronze,45
KP_002_profil 154,154,bronze,45
KP_003_profil 229,229,bronze,48
KP_004_profil 329,329,bronze,52
KP_005_profil 374,374,bronze,54
KP_010_profil 420,420,bronze,55
KP_006_profil 479,479,bronze,60
KP_007_profil 523,523,bronze,57
KP_008_profil 729,729,bronze,58
KP_009_profil 65,65,gold,45
KP_001_profil 79,79,gold,45
KP_002_profil 154,154,gold,45
KP_003_profil 229,229,gold,48
KP_004_profil 329,329,gold,52
KP_005_profil 374,374,gold,54
KP_010_profil 420,420,gold,55
KP_006_profil 479,479,gold,60
KP_007_profil 523,523,gold,57
KP_008_profil 729,729,gold,58

== HANDLE ==
Name,Price
UCHWYT STAŁY,78
