nazwa;nazwa ogólna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KLAGEM FOOT2;Foot 2;9005;104;;;;
KLAGEM FOOT2;Foot 2;bronze;107;;;;
KLAGEM FOOT2;Foot 2;gold;107;;;;
UCHWYT STAŁY;;;73;;;;
KK_003_lacznik 3;Kolano 3;9005;87;;;;
KK_004_lacznik 4;Kolano 4;9005;89;;;;
KK_005_lacznik 5;Kolano 5;9005;91;;;;
KP_009_profil 65;Profil 65;9005;37;;;;
KP_001_profil 79;Profil 79;9005;37;;;;
KP_002_profil 154;Profil 154;9005;37;;;;
KP_003_profil 229;Profil 229;9005;40;;;;
KP_004_profil 329;Profil 329;9005;43;;;;
KP_005_profil 374;Profil 374;9005;45;;;;
KP_010_profil 420;Profil 420;9005;46;;;;
KP_006_profil 479;Profil 479;9005;52;;;;
KP_007_profil 523;Profil 523;9005;48;;;;
KP_008_profil 729;Profil 729;9005;49;;;;
KK_003_lacznik 3;Kolano 3;bronze;90;;;;
KK_004_lacznik 4;Kolano 4;bronze;92;;;;
KK_005_lacznik 5;Kolano 5;bronze;94;;;;
KP_009_profil 65;Profil 65;bronze;40;;;;
KP_001_profil 79;Profil 79;bronze;40;;;;
KP_002_profil 154;Profil 154;bronze;40;;;;
KP_003_profil 229;Profil 229;bronze;44;;;;
KP_004_profil 329;Profil 329;bronze;47;;;;
KP_005_profil 374;Profil 374;bronze;49;;;;
KP_010_profil 420;Profil 420;bronze;50;;;;
KP_006_profil 479;Profil 479;bronze;55;;;;
KP_007_profil 523;Profil 523;bronze;52;;;;
KP_008_profil 729;Profil 729;bronze;52;;;;
KK_003_lacznik 3;Kolano 3;gold;90;;;;
KK_004_lacznik 4;Kolano 4;gold;92;;;;
KK_005_lacznik 5;Kolano 5;gold;94;;;;
KP_009_profil 65;Profil 65;gold;40;;;;
KP_001_profil 79;Profil 79;gold;40;;;;
KP_002_profil 154;Profil 154;gold;40;;;;
KP_003_profil 229;Profil 229;gold;44;;;;
KP_004_profil 329;Profil 329;gold;47;;;;
KP_005_profil 374;Profil 374;gold;49;;;;
KP_010_profil 420;Profil 420;gold;50;;;;
KP_006_profil 479;Profil 479;gold;55;;;;
KP_007_profil 523;Profil 523;gold;52;;;;
KP_008_profil 729;Profil 729;gold;52;;;;
KSP_001_10x258x108;ściana pionowa;PC mat;97;229;79;;
KSP_002_10x258x183;ściana pionowa;PC mat;128;229;154;;
KSP_003_10x258x258;ściana pionowa;PC mat;160;229;229;;
KSP_004_10x258x358;ściana pionowa;PC mat;202;229;329;;
KSP_005_10x258x403;ściana pionowa;PC mat;221;229;374;;
KSP_006_10x258x449;ściana pionowa;PC mat;240;229;420;;
KSP_007_10x358x108;ściana pionowa;PC mat;121;329;79;;
KSP_008_10x358x183;ściana pionowa;PC mat;162;329;154;;
KSP_009_10x358x358;ściana pionowa;PC mat;256;329;329;;
KSP_010_10x358x403;ściana pionowa;PC mat;280;329;374;;
KSP_011_10x358x449;ściana pionowa;PC mat;305;329;420;;
KSP_012_10x403x108;ściana pionowa;PC mat;134;374;79;;
KSP_013_10x403x183;ściana pionowa;PC mat;177;374;154;;
KSP_014_10x403x358;ściana pionowa;PC mat;280;374;329;;
KSP_015_10x403x403;ściana pionowa;PC mat;307;374;374;;
KSP_016_10x403x449;ściana pionowa;PC mat;333;374;420;;
KSP_017_10x449x108;ściana pionowa;PC mat;144;420;79;;
KSP_018_10x449x183;ściana pionowa;PC mat;193;420;154;;
KSP_019_10x449x449;ściana pionowa;PC mat;362;420;420;;
KSP_020_10x508x108;ściana pionowa;PC mat;160;479;79;;
KSP_021_10x508x183;ściana pionowa;PC mat;212;479;154;;
KSP_022_10x108x758;ściana pionowa;PC mat;13;79;729;;
KSP_023_10x183x758;ściana pionowa;PC mat;13;154;729;;
KSP_024_10x258x758;ściana pionowa;PC mat;13;229;729;;
KSP_025_10x358x758;ściana pionowa;PC mat;13;329;729;;
KSP_026_10x403x758;ściana pionowa;PC mat;13;374;729;;
KSP_027_10x449x758;ściana pionowa;PC mat;13;420;729;;
KSP_028_10x258x386;ściana pionowa;PC mat;13;229;357;;
KSP_029_10x358x552;ściana pionowa;PC mat;13;329;523;;
KSP_030_10x258x552;ściana pionowa;PC mat;13;229;523;;
KSP_031_10x258x369;ściana pionowa;PC mat;13;229;340;;
KSP_032_10x247x508;ściana pionowa;PC mat;13;218;479;;
KSP_033_10x108x108;ściana pionowa;PC mat;13;79;79;;
KSP_034_10x258x508;ściana pionowa;PC mat;13;229;479;;
KSP_001_10x258x108;ściana pionowa;PC polysk;113;229;79;;
KSP_002_10x258x183;ściana pionowa;PC polysk;156;229;154;;
KSP_003_10x258x258;ściana pionowa;PC polysk;198;229;229;;
KSP_004_10x258x358;ściana pionowa;PC polysk;256;229;329;;
KSP_005_10x258x403;ściana pionowa;PC polysk;282;229;374;;
KSP_006_10x258x449;ściana pionowa;PC polysk;308;229;420;;
KSP_007_10x358x108;ściana pionowa;PC polysk;144;329;79;;
KSP_008_10x358x183;ściana pionowa;PC polysk;200;329;154;;
KSP_009_10x358x358;ściana pionowa;PC polysk;329;329;329;;
KSP_010_10x358x403;ściana pionowa;PC polysk;362;329;374;;
KSP_011_10x358x449;ściana pionowa;PC polysk;397;329;420;;
KSP_012_10x403x108;ściana pionowa;PC polysk;158;374;79;;
KSP_013_10x403x183;ściana pionowa;PC polysk;219;374;154;;
KSP_014_10x403x358;ściana pionowa;PC polysk;362;374;329;;
KSP_015_10x403x403;ściana pionowa;PC polysk;399;374;374;;
KSP_016_10x403x449;ściana pionowa;PC polysk;438;374;420;;
KSP_017_10x449x108;ściana pionowa;PC polysk;172;420;79;;
KSP_018_10x449x183;ściana pionowa;PC polysk;240;420;154;;
KSP_019_10x449x449;ściana pionowa;PC polysk;479;420;420;;
KSP_020_10x508x108;ściana pionowa;PC polysk;191;479;79;;
KSP_021_10x508x183;ściana pionowa;PC polysk;266;479;154;;
KSP_022_10x108x758;ściana pionowa;PC polysk;13;79;729;;
KSP_023_10x183x758;ściana pionowa;PC polysk;13;154;729;;
KSP_024_10x258x758;ściana pionowa;PC polysk;13;229;729;;
KSP_025_10x358x758;ściana pionowa;PC polysk;13;329;729;;
KSP_026_10x403x758;ściana pionowa;PC polysk;13;374;729;;
KSP_027_10x449x758;ściana pionowa;PC polysk;13;420;729;;
KSP_028_10x258x386;ściana pionowa;PC polysk;13;229;357;;
KSP_029_10x358x552;ściana pionowa;PC polysk;13;329;523;;
KSP_030_10x258x552;ściana pionowa;PC polysk;13;229;523;;
KSP_031_10x258x369;ściana pionowa;PC polysk;13;229;340;;
KSP_032_10x247x508;ściana pionowa;PC polysk;13;218;479;;
KSP_033_10x108x108;ściana pionowa;PC polysk;13;79;79;;
