nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KLAGEM FOOT2;Foot 2;9005;111;;;;
KLAGEM FOOT2;Foot 2;bronze;116;;;;
KLAGEM FOOT2;Foot 2;gold;116;;;;
UCHWYT STA?ÅY;;;78;;;;
KK_003_lacznik 3;Kolano 3;9005;93;;;;
KK_004_lacznik 4;Kolano 4;9005;95;;;;
KK_005_lacznik 5;Kolano 5;9005;97;;;;
KP_009_profil 65;Profil 65;9005;40;;;;
KP_001_profil 79;Profil 79;9005;40;;;;
KP_002_profil 154;Profil 154;9005;40;;;;
KP_003_profil 229;Profil 229;9005;44;;;;
KP_004_profil 329;Profil 329;9005;47;;;;
KP_005_profil 374;Profil 374;9005;49;;;;
KP_010_profil 420;Profil 420;9005;50;;;;
KP_006_profil 479;Profil 479;9005;56;;;;
KP_007_profil 523;Profil 523;9005;52;;;;
KP_008_profil 729;Profil 729;9005;53;;;;
KK_003_lacznik 3;Kolano 3;bronze;98;;;;
KK_004_lacznik 4;Kolano 4;bronze;100;;;;
KK_005_lacznik 5;Kolano 5;bronze;102;;;;
KP_009_profil 65;Profil 65;bronze;45;;;;
KP_001_profil 79;Profil 79;bronze;45;;;;
KP_002_profil 154;Profil 154;bronze;45;;;;
KP_003_profil 229;Profil 229;bronze;48;;;;
KP_004_profil 329;Profil 329;bronze;52;;;;
KP_005_profil 374;Profil 374;bronze;54;;;;
KP_010_profil 420;Profil 420;bronze;55;;;;
KP_006_profil 479;Profil 479;bronze;60;;;;
KP_007_profil 523;Profil 523;bronze;57;;;;
KP_008_profil 729;Profil 729;bronze;58;;;;
KK_003_lacznik 3;Kolano 3;gold;98;;;;
KK_004_lacznik 4;Kolano 4;gold;100;;;;
KK_005_lacznik 5;Kolano 5;gold;102;;;;
KP_009_profil 65;Profil 65;gold;45;;;;
KP_001_profil 79;Profil 79;gold;45;;;;
KP_002_profil 154;Profil 154;gold;45;;;;
KP_003_profil 229;Profil 229;gold;48;;;;
KP_004_profil 329;Profil 329;gold;52;;;;
KP_005_profil 374;Profil 374;gold;54;;;;
KP_010_profil 420;Profil 420;gold;55;;;;
KP_006_profil 479;Profil 479;gold;60;;;;
KP_007_profil 523;Profil 523;gold;57;;;;
KP_008_profil 729;Profil 729;gold;58;229;79;;
KSP_001_10x258x108;?õciana pionowa;PC mat;103;229;154;;
KSP_002_10x258x183;?õciana pionowa;PC mat;136;229;229;;
KSP_003_10x258x258;?õciana pionowa;PC mat;169;229;329;;
KSP_004_10x258x358;?õciana pionowa;PC mat;214;229;374;;
KSP_005_10x258x403;?õciana pionowa;PC mat;234;229;420;;
KSP_006_10x258x449;?õciana pionowa;PC mat;254;329;79;;
KSP_007_10x358x108;?õciana pionowa;PC mat;129;329;154;;
KSP_008_10x358x183;?õciana pionowa;PC mat;171;329;329;;
KSP_009_10x358x358;?õciana pionowa;PC mat;271;329;374;;
KSP_010_10x358x403;?õciana pionowa;PC mat;297;329;420;;
KSP_011_10x358x449;?õciana pionowa;PC mat;322;374;79;;
KSP_012_10x403x108;?õciana pionowa;PC mat;142;374;154;;
KSP_013_10x403x183;?õciana pionowa;PC mat;188;374;329;;
KSP_014_10x403x358;?õciana pionowa;PC mat;297;374;374;;
KSP_015_10x403x403;?õciana pionowa;PC mat;324;374;420;;
KSP_016_10x403x449;?õciana pionowa;PC mat;352;420;79;;
KSP_017_10x449x108;?õciana pionowa;PC mat;153;420;154;;
KSP_018_10x449x183;?õciana pionowa;PC mat;204;420;420;;
KSP_019_10x449x449;?õciana pionowa;PC mat;383;479;79;;
KSP_020_10x508x108;?õciana pionowa;PC mat;169;479;154;;
KSP_021_10x508x183;?õciana pionowa;PC mat;225;79;729;;
KSP_022_10x108x758;?õciana pionowa;PC mat;236;154;729;;
KSP_023_10x183x758;?õciana pionowa;PC mat;313;229;729;;
KSP_024_10x258x758;?õciana pionowa;PC mat;393;329;729;;
